song,artist,cluster
Promises (with Sam Smith),"Calvin Harris, Sam Smith, Jessie Reyez",1
Hollywood Hills - Vain Elämää Kausi 6,Robin,1
Seuraavaan elämään,Jannika B,0
Burn,Ellie Goulding,1
Onnellinen,Robin,1
Kipinän Hetki,"Robin, Elastinen",1
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,3
Walks Like Rihanna,The Wanted,1
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",3
Wake Up in the Sky,"Gucci Mane, Bruno Mars, Kodak Black",0
REDMERCEDES,Aminé,0
ZEZE (feat. Travis Scott & Offset),"Kodak Black, Offset, Travis Scott",4
Walk,Comethazine,4
Caroline,Aminé,4
Spice Girl,Aminé,4
Ruin My Life,Zara Larsson,1
Tyhjää (feat. Jenna Alexa),"Juno, Jenna Alexa",0
Se Ei Kuulu Sulle,Gasellit,1
Uproar,"Lil Wayne, Swizz Beatz",1
KICK (feat. 6ix9ine),"Jimilian, 6ix9ine",0
Multi Millionaire (feat. Lil Uzi Vert),"Lil Pump, Lil Uzi Vert",1
Dracula,SANNI,0
Diamond Heart,"Alan Walker, Sophia Somajo",1
Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",0
Loppuun Asti,"Elastinen, Johanna Kurkela",1
Arms Around You (feat. Maluma & Swae Lee),"XXXTENTACION, Lil Pump, Swae Lee, Maluma",0
Lumi,"Gasellit, Anna Puu",0
Happy Now,"Kygo, Sandro Cavazza",3
Aamu - Vain Elämää Kausi 9,Evelina,3
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B",0
Kiss and Make Up,"Dua Lipa, BLACKPINK",1
Monta nimee,Vesala,0
Let You Love Me,Rita Ora,1
when the party's over,Billie Eilish,3
Planeetat,"Ida Paul & Kalle Lindroth, Ida Paul, Kalle Lindroth",3
Close To Me (with Diplo) (feat. Swae Lee),"Ellie Goulding, Diplo, Swae Lee",0
Tällä kadulla (Vain elämää kausi 9),Ellinoora,3
Ota varovasti,Vesta,1
MIA (feat. Drake),"Bad Bunny, Drake",0
Without Me,Halsey,1
Yikes,Kanye West,4
I Got 5 On It,"Luniz, Michael Marshall",4
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,0
I Will Be,Avril Lavigne,1
Love Myself,Olivia O'Brien,3
Don't Worry Bout Me,Zara Larsson,1
Uusia unelmia,Vesala,1
Swervin (feat. 6ix9ine),"A Boogie Wit da Hoodie, 6ix9ine",4
Lost in the Fire,"Gesaffelstein, The Weeknd",3
Anything Could Happen,Ellie Goulding,1
Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),"Mike WiLL Made-It, Rae Sremmurd, Big Sean, Quavo, Pharrell Williams",0
Beautiful (feat. Camila Cabello),"Bazzi, Camila Cabello",1
Imma Do It,"Fabolous, Kobe",4
My Time,"Fabolous, Jeremih",0
dopemang (feat. Ashley All Day),"Kiiara, Ashley All Day",0
Moves,Big Sean,4
Feel Like I'm Back,Fabolous,3
successful,Ariana Grande,0
***Flawless (feat. Chimamanda Ngozi Adichie),"Beyoncé, Chimamanda Ngozi Adichie",4
Champion,Tyrone Briggs,1
Old Town Road,Lil Nas X,1
G.O.A.T.,Princess Nokia,4
Barbie Dreams,Nicki Minaj,4
Buy A Heart,"Nicki Minaj, Meek Mill",4
Win Again,Nicki Minaj,1
Get On Your Knees,"Nicki Minaj, Ariana Grande",3
This Could Be Us,Rae Sremmurd,0
Changes,"Mike Perry, Dimitri Vangelis & Wyman, Ten Times, The Companions",1
Energy,Drake,4
Can't Tell Me Nothing,Kanye West,0
Boomin,"Yung Gravy, bbno$",4
Mercy.1,"Kanye West, Big Sean, Pusha T, 2 Chainz",4
Plain Jane REMIX (feat. Nicki Minaj),"A$AP Ferg, Nicki Minaj",4
Pull Up N Wreck (& Metro Boomin),"Big Sean, Metro Boomin, 21 Savage",4
So Good (& Metro Boomin),"Big Sean, Metro Boomin, Kash Doll",4
I'm Upset,Drake,4
Hard Work Pays Off,"Future, Juice WRLD",4
Muijii stadis,Gettomasa,0
Wow.,Post Malone,4
all my friends,21 Savage,1
High Hopes,Panic! At The Disco,1
Whatever It Takes,Imagine Dragons,1
Undecided,Chris Brown,1
Don't Kill My High (feat. Wiz Khalifa & Social House),"Lost Kings, Wiz Khalifa, Social House",1
Sundress,A$AP Rocky,1
Grip,"Seeb, Bastille",1
Look Back at It,A Boogie Wit da Hoodie,0
a lot,21 Savage,1
Saturday Nights,Khalid,3
There You Are,ZAYN,0
YOSEMITE,Travis Scott,1
How You Love Me (feat. Conor Maynard & Snoop Dogg),"Hardwell, Conor Maynard, Snoop Dogg",1
Later Bitches,The Prince Karma,1
Play,"Jax Jones, Years & Years",0
My Blood,Twenty One Pilots,1
Serious,Russ,4
Thursday,Leven Kali,3
Playinwitme (feat. Kehlani),"KYLE, Kehlani",0
Calling My Spirit,Kodak Black,4
Don't Come Out The House (with 21 Savage),"Metro Boomin, 21 Savage",4
Smack A Bitch,Rico Nasty,1
So Good,B.o.B,1
Beware,"Big Sean, Lil Wayne, Jhené Aiko",4
You Was Right,Lil Uzi Vert,4
Goldie,A$AP Rocky,0
"Telephone Calls (feat. A$AP Rocky, Tyler, The Creator, Playboi Carti & Yung Gleesh)","A$AP Mob, A$AP Rocky, Tyler, The Creator, Playboi Carti, Yung Gleesh",4
Dancing With A Stranger (with Normani),"Sam Smith, Normani",3
7 rings,Ariana Grande,3
Bad Liar,Imagine Dragons,1
Going Bad (feat. Drake),"Meek Mill, Drake",0
Startender (feat. Offset and Tyga),"A Boogie Wit da Hoodie, Tyga, Offset",0
Move On,Mike Posner,2
"I'll Be With You (with Kovee, Joznez)","Robin Packalen, Kovee, Joznez",0
Girls Have Fun (feat. G-Eazy & Rich The Kid),"Tyga, G-Eazy, Rich The Kid",4
Vihaan Rakastaa Sua,Tuure Boelius,0
i'm so tired...,"Lauv, Troye Sivan",1
Leave a Light On,Tom Walker,1
"break up with your girlfriend, i'm bored",Ariana Grande,0
needy,Ariana Grande,3
Please Me,"Cardi B, Bruno Mars",1
Thotiana,Blueface,4
Robbery,Juice WRLD,1
Pure Water (with Migos),"Mustard, Migos",1
Mitä sulle jää (feat. Ilta),"Pikku G, Ilta",0
Out Of Love,Alessia Cara,3
like that,Bea Miller,0
Sober,Selena Gomez,1
Call Out My Name,The Weeknd,1
Complicated,Olivia O'Brien,3
"fuck, i'm lonely","Lauv, Anne-Marie",3
boyfriend (with Social House),"Ariana Grande, Social House",4
Consequences,Camila Cabello,3
Something's Gotta Give,Camila Cabello,3
Glad He's Gone,Tove Lo,1
All These Years,Camila Cabello,3
"She's Not Me, Pt. 1 & 2",Zara Larsson,3
Robbery,Juice WRLD,1
Hate Me (with Juice WRLD),"Ellie Goulding, Juice WRLD",1
Feeling,Juice WRLD,0
Fast,Juice WRLD,3
Hide (feat. Seezyn),"Juice WRLD, Seezyn",0
Lean Wit Me,Juice WRLD,1
Out My Way,Juice WRLD,4
Wasted (feat. Lil Uzi Vert),"Juice WRLD, Lil Uzi Vert",1
Hurt Me,Juice WRLD,4
Murder On My Mind,YNW Melly,0
Sanguine Paradise,Lil Uzi Vert,0
Dear Society,Madison Beer,0
Hurts Like Hell (feat. Offset),"Madison Beer, Offset",0
Goodbyes (Feat. Young Thug),"Post Malone, Young Thug",1
Kaukan Mut Lähel,ibe,1
Mercy,Shawn Mendes,0
Psykologi,SANNI,3
Pommi (pampampam),SANNI,0
Teeth,5 Seconds of Summer,0
Sytyn,ABREU,1
Cross Me (feat. Chance the Rapper & PnB Rock),"Ed Sheeran, Chance the Rapper, PnB Rock",1
A LOT TO LOSE,24kGoldn,1
Faucet Failure,Ski Mask The Slump God,4
SauceMan,ibe,2
2naamaa,Sexmane,4
Clout (feat. Cardi B),"Offset, Cardi B",1
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)","Mustard, NAV, Playboi Carti, A Boogie Wit da Hoodie",0
Roses (with Juice WRLD feat. Brendon Urie),"benny blanco, Juice WRLD, Brendon Urie",1
Lalala,"Y2K, bbno$",1
Dance Monkey,Tones And I,3
TIEN PÄÄL,"ibe, MELO",4
Make Believe,Juice WRLD,1
Ransom,Lil Tecca,4
Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",0
Karavaani,Roope Salminen & Koirat,1
Chances,Backstreet Boys,1
You Need To Calm Down,Taylor Swift,1
Money In The Grave (Drake ft. Rick Ross),"Drake, Rick Ross",0
Panini,Lil Nas X,0
Ehdottomasti ehkä,JVG,0
Señorita,"Shawn Mendes, Camila Cabello",0
Pantomiimi (feat. Jenna Alexa),"Pikku G, Jenna Alexa",0
Kalenterist tilaa (feat. Evelina),"JVG, Evelina",0
Truth Hurts,Lizzo,0
Räkis,Gettomasa,4
Silmät,Gettomasa,4
Suojaus petti,Gasellit,4
Frendi,Mouhous,1
Ei Saada Takasin Meit,Adi L Hasla,0
Never Really Over,Katy Perry,1
Pop Out (feat. Lil Tjay),"Polo G, Lil Tjay",4
EARFQUAKE,"Tyler, The Creator",3
Mother's Daughter,Miley Cyrus,0
Frisbee,JVG,1
Kännissä tai läpällä,costee,1
Made in Italy,"Cledos, Mikael Gabriel",1
PIDÄKII,Cledos,0
Ihan Sama Mä Elän,Tuure Boelius,1
Because I Had You,Shawn Mendes,4
Tilttiin,Pasi ja Anssi,0
7300 päivää (feat. Erika Vikman & Danny),"DJ Oku Luukkainen, HesaÄijä, Erika Vikman, Danny",1
No Sleep (feat. Bonn),"Martin Garrix, Bonn",1
Hei kevät,SANNI,0
Helposti särkyvää,Nelli Matula,1
Surullinen Klovni,"MKDMSK, Pyhimys",4
Leave,Post Malone,1
Rooma (feat. Etta),"Lukas Leon, Etta",1
Power is Power,"SZA, The Weeknd, Travis Scott, Game of Thrones",1
Old Town Road,Lil Nas X,1
BIGMACi,"Bizi, Cledos",4
Juon sut pois,Benjamin,0
Luurangot,costee,0
Dementia,SANNI,0
Muistuta mua,Pyhimys,0
Arriba (feat. Clean Bandit),"Little Big, Tatarka, Clean Bandit",0
Satasen Laina,"Mäkki, Sini Sabotage",1
Ride It,Regard,0
Waiting Game,Isac Elliot,1
Last Hurrah - David Guetta Remix,"Bebe Rexha, David Guetta",0
Instagram,"Dimitri Vegas & Like Mike, David Guetta, Daddy Yankee, Afro Bros, Natti Natasha, Dimitri Vegas, Like Mike",0
South of the Border (feat. Camila Cabello & Cardi B),"Ed Sheeran, Camila Cabello, Cardi B",0
Easier – Remix (with Charlie Puth),"5 Seconds of Summer, Charlie Puth",3
TYTÖT TYKKÄÄ,"Tuure Boelius, Teflon Brothers",0
Circles,Post Malone,1
Down Under,"LVNDSCAPE, Rat City",0
Koske,Nelli Matula,1
Ritual,"Tiësto, Jonas Blue, Rita Ora",0
Näytä mulle ne,Benjamin,0
Kaikki tytöt,Kymppilinja,0
Takeaway (feat. Lennon Stella),"The Chainsmokers, ILLENIUM, Lennon Stella",3
Hollaa (feat. Sofia Zida),"Henriguez, Sofia Zida",0
"Yo x Ti, Tu x Mi","ROSALÍA, Ozuna",1
Vaikutuksen alainen,Juno,4
Bad as the Boys,"Tove Lo, ALMA",1
Hedelmäpommi (feat. Frederik),"Yksi Totuus, Frederik",1
Käty,Arttu Lindeman,0
Body,Indy & Karim,0
Mikä kesä,"Seksikäs-Suklaa, Dosdela",0
Won't Be Late (feat. Drake),"Swae Lee, Drake",0
Mama,"Ella Eyre, Banx & Ranx, Kiana Ledé",0
China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",1
Higher Love,"Kygo, Whitney Houston",1
Sano mun nimi ääneen,"Ida Paul & Kalle Lindroth, Ida Paul, Kalle Lindroth",0
Pakomatka,"Brädi, Redrama",4
Hyvä päivä,"Cavallini & Shrty, JVG",1
Bittersweet Symphony (feat. Emily Roberts),"GAMPER & DADONI, Emily Roberts",1
From Paris to Berlin - radio version,Infernal,0
Summer Of '69,Bryan Adams,1
One Way or Another (Teenage Kicks),One Direction,0
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,0
Step Up,Darin,0
Bussin (feat. Lil Pump),"Blueface, Lil Pump",4
Ransom,Lil Tecca,4
Did It Again,Lil Tecca,4
Shots,Lil Tecca,0
Out Of Luck,Lil Tecca,4
Playing Games (with Bryson Tiller) - Extended Version,"Summer Walker, Bryson Tiller",3
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",1
VALENTINO,24kGoldn,0
VIBEZ,DaBaby,4
Hot (feat. Gunna),"Young Thug, Gunna",4
mä + sä (feat. Lauri Haav & Karina),"Pykäri, Lauri Haav, Karina",0
Japanese Drip,"Kube, Cledos",4
HIGHEST IN THE ROOM,Travis Scott,3
Bad Bad Bad (feat. Lil Baby),"Young Thug, Lil Baby",4
One Thing Right,"Marshmello, Kane Brown",1
Stuck In A Dream (feat. Gunna),"Lil Mosey, Gunna",0
Single Again,Big Sean,1
Babushka Boi,A$AP Rocky,4
On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky),"Mustard, YG, Tyga, A$AP Ferg, A$AP Rocky",1
imagine,Ariana Grande,3
NASA,Ariana Grande,4
bloodline,Ariana Grande,0
fake smile,Ariana Grande,4
bad idea,Ariana Grande,1
ghostin,Ariana Grande,3
Santa Tell Me,Ariana Grande,1
Focus,Ariana Grande,1
Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",0
Put Your Hearts Up,Ariana Grande,1
Work from Home (feat. Ty Dolla $ign),"Fifth Harmony, Ty Dolla $ign",1
All In My Head (Flex) (feat. Fetty Wap),"Fifth Harmony, Fetty Wap",0
Liar,Camila Cabello,0
She Loves Control,Camila Cabello,1
In the Dark,Camila Cabello,1
Tie Me Down (with Elley Duhé) - Steve Aoki Remix,"Gryffin, Elley Duhé, Steve Aoki",1
Purpose - Stripped,Etham,3
Giant (with Rag'n'Bone Man),"Calvin Harris, Rag'n'Bone Man",0
What You Wish For,Alex Vargas,3
"Fire On Fire - From ""Watership Down""",Sam Smith,3
Long Sun,Jez Dior,4
Cocoon,Milky Chance,1
La La Land (feat. YG),"Bryce Vine, YG",0
Glass House (feat. Naomi Wild),"Machine Gun Kelly, Naomi Wild",0
Dreamers,"MOTi, Project.M, Lovespeake",1
She Bad,"Cardi B, YG",4
I Do (feat. SZA),"Cardi B, SZA",4
Money Bag,Cardi B,0
Best Life (feat. Chance The Rapper),"Cardi B, Chance the Rapper",4
Rodeo,"Lil Nas X, Cardi B",1
Free Spirit,Khalid,3
Something's Got To Give,Labrinth,1
Last Hurrah,Bebe Rexha,0
No Brainer,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper",4
Solita (feat. Rich The Kid),"PRETTYMUCH, Rich The Kid",1
Body,"Loud Luxury, Brando",1
Hey Baby (feat. A7S),"Tungevaag, Raaban, A7S",1
Whenever (feat. Conor Maynard),"Kris Kross Amsterdam, The Boy Next Door, Conor Maynard",1
So Close,"NOTD, Felix Jaehn, Captain Cuts, Georgia Ku",1
Pretender (feat. Lil Yachty & AJR),"Steve Aoki, Lil Yachty, AJR",0
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco, Selena Gomez, J Balvin, Tainy",4
Woman Like Me (feat. Nicki Minaj),"Little Mix, Nicki Minaj",0
Be Your Friend,"Vigiland, Alexander Tidebrink",1
Change My Heart,"Ummet Ozcan, Laurell",0
Real Friends,PRETTYMUCH,1
Lights Out (Too Drunk) [feat. Hayla],"DJ Katch, Hayla",1
Paha Äiä,Nuorihylly,0
Anybody (feat. Nicki Minaj),"Young Thug, Nicki Minaj",4
Alas,Lauri Haav,4
Celebration,Oliver Francis,3
Varoo,Aaro630,3
Get It Together,"Drake, Black Coffee, Jorja Smith",2
The Weekend - Funk Wav Remix,"SZA, Calvin Harris, Funk Wav",1
Slide,"H.E.R., YG",4
Toista,Aaro630,3
Djadja,Aya Nakamura,1
GOSHA,$NOT,4
1000 Rounds,"Pouya, Ghostemane",1
D.R.E.A.M. (feat. Ghostface Killah),"Miley Cyrus, Ghostface Killah",4
Nyt ja heti,Lauri Haav,4
Palasina,Vilma Alina,3
Kertakäyttörakkaus,Mansesteri,1
Mitä jos ne näkee,SANNI,1
Woppaa,"Mikael Gabriel, Kevin Tandu",4
Best Song Ever,One Direction,1
Katumuksen sakramentti (feat. LEO),"Juno, LEO",0
Rakkaus,Haloo Helsinki!,1
Aina ku Aira (Vain elämää kausi 9),Ellinoora,3
Köpis 2012,Haloo Helsinki!,3
Mine - POP Mix,Taylor Swift,1
Midnight Memories,One Direction,0
Pakoon pahaa oloo,costee,0
Pojat on poikii feat. Elastinen & Spekti,"Uniikki, Elastinen, Spekti",4
Tässä ja nyt,YOUNGHEARTED,0
Be Good to Me,Ashley Tisdale,1
Miten kävikään,Aste,0
Kauas pois,Raappana,0
Hosun,"Ida Paul & Kalle Lindroth, Ida Paul, Kalle Lindroth",1
Nadaa,Diandra,0
Hullu exä,"Ida Paul & Kalle Lindroth, Ida Paul, Kalle Lindroth",1
Vuosien päästä (feat. Etta),"STEREO, Etta",0
Soo Soo,ABREU,0
Make Me... (feat. G-Eazy) - Marc Stout & Tony Arzadon Remix,"Britney Spears, G-Eazy, Marc Stout, Tony Arzadon",0
Melkein kuollut,Keko Salata,0
Kelpaat kelle vaan,Juha Tapio,3
What About Love,Austin Mahone,1
Company,Justin Bieber,0
Me Ollaan Runo,Anna Puu,1
Mark My Words,Justin Bieber,3
Underdogs,Benjamin,0
Baby I,Isac Elliot,1
We're In Heaven (feat. J-Malik) - Radio Edit,"Bryce, J-Malik",0
Vihaajat vihaa (feat. Kalle Kinos),"Cheek, Kalle Kinos",4
Do What You Want with My Body,DJ Martin ElectroSpin,0
Chilii (feat. SINI YASEMIN),"Raappana, SINI YASEMIN",0
Spell On Me,Adelén,0
Now Your Gone,Real Deal,0
Best når jeg er full,Robin og Bugge,1
We Own The Night,The Wanted,1
Just Can't Let Her Go,Isac Elliot,0
"Day One (feat. Big L, A.G., Lord Finesse, & O.C.)","Diamond D, Big L, A.G., Lord Finesse,, O.C",4
Ambitionz Az A Ridah,2Pac,1
Gangsta Nation,Westside Connection,4
All Eyez On Me,2Pac,4
Real Muthaphuckkin G's,Eazy-E,4
Back That Azz Up,"Juvenile, Lil Wayne, Mannie Fresh",4
Gettin' It,Too $hort,4
Crush on You,Lil' Kim,4
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,"Eiffel 65, Gabry Ponte",0
L'Amour Toujours,Gigi D'Agostino,1
It Wasn't Me,"Shaggy, Rik Rok",1
Get A Way,Maxx,1
Mr. Vain - Original Radio Edit,Culture Beat,0
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,0
Forgot About Dre,"Dr. Dre, Eminem",1
It's Gonna Be Me,*NSYNC,0
"Rhythm Is A Dancer - 7"" Edit",SNAP!,0
Freed From Desire,Gala,0
Can't Nobody Hold Me Down (feat. Mase),"Diddy, Mase",4
Smells Like Teen Spirit,Nirvana,1
Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),"Pras, Ol' Dirty Bastard, Mýa",4
I Will Always Love You - Film Version,Whitney Houston,3
Genie In a Bottle,Christina Aguilera,1
You,La Cream,2
Rhythm Of Love - Original Radio Edit,DJ Sequenza,1
Fly High,Me & My,2
This Is How We Do It,Solid Base,1
Show me colours,Masterboy,1
Naked In The Rain,Infinity,0
Bla Bla Bla,Gigi D'Agostino,2
Popcorn - Radio Version,Richi M.,2
Get Me - Radio Edit,Reset,1
U Drive Me Crazy,Waldo's People,2
Sex On The Phone,E-Rotic,2
We’re Going to Ibiza!,Vengaboys,1
Superhero,Daze,0
Yli susta,costee,0
Sinä 4ever,Ellinoora,3
Tuntematon,Haloo Helsinki!,1
Parvekkeella,"Ida Paul & Kalle Lindroth, Ida Paul, Kalle Lindroth",0
Teen Mitä Haluun,"Spekti, Setä Tamu",1
The Good Life,Hannah Montana,1
Offline (feat. Ollie),"Arttu Lindeman, Ollie",3
Hei Scully,Kuningas Pähkinä & Setä Tamu,0
Turvallista sotaa,Vesta,0
Lambada,Sini Sabotage,0
Doupein (feat. Pete Parkkonen),"Bang For The Buck, Pete Parkkonen",0
Parasta just nyt,"Robin, Nikke Ankara",0
Alpha Omega,Cheek,0
Ylöspäin,TIPPA,1
Ei Mitään Jiitä,Adi L Hasla,0
"Me ollaan ne Pt. 2 (feat. Nikke Ankara, Elastinen, JVG, Kube & Pete Parkkonen)","Cheek, Elastinen, JVG, Kube, Nikke Ankara, Pete Parkkonen",0
Gas Pedal - Remix,"Sage The Gemini, Justin Bieber, Iamsu!",1
Heaven,"DJ Sammy, D/O",1
Seuraavassa elämässä,Kaija Koo,1
Eka tääl,costee,1
On elämä laina,Erin,1
Mehu,TIPPA,0
Kalenteris tyhjää,"Mäkki, Ruma",4
Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Sean Paul, Anne-Marie",0
Why I'm Single,Alli Simpson,0
Kuka sen opettaa,Kaija Koo,0
Take A Picture,Carly Rae Jepsen,0
Jallutyttö,Pää-äijät,1
Kohta sataa,Pete Parkkonen,0
Veitset,Ellinoora,3
Judas - DJ White Shadow Remix,"Lady Gaga, DJ White Shadow",2
Who Needs Love,Trippie Redd,3
Bury Me,View,1
fOoL fOr YoU,ZAYN,3
everything i wanted,Billie Eilish,3
Memories,Maroon 5,3
Don't Start Now,Dua Lipa,0
Lose You To Love Me,Selena Gomez,3
Someone You Loved,Lewis Capaldi,3
RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",0
Watermelon Sugar,Harry Styles,1
Masokisti,ABREU,3
Teipillä tai rakkaudella,ABREU,0
ICY GRL,Saweetie,4
Torn,Ava Max,0
Trendsetter,24kGoldn,4
Immortal,21 Savage,4
BOP,DaBaby,4
Suge,DaBaby,4
Ballin' (with Roddy Ricch),"Mustard, Roddy Ricch",3
Yellow Hearts,Ant Saunders,3
Camelot,NLE Choppa,4
Follow God,Kanye West,4
223's (feat. 9lokknine),"YNW Melly, 9lokknine",4
Bandit (with YoungBoy Never Broke Again),"Juice WRLD, YoungBoy Never Broke Again",4
ROXANNE,Arizona Zervas,0
Writing on the Wall (feat. Post Malone & Cardi B),"French Montana, Rvssian, Post Malone, Cardi B",0
Nice To Meet Ya,Niall Horan,0
Hei rakas,BEHM,3
Take What You Want (feat. Ozzy Osbourne & Travis Scott),"Post Malone, Ozzy Osbourne, Travis Scott",0
Starboy,Sexmane,3
I Wanna Rock (feat. Gunna),"G-Eazy, Gunna",0
hot girl bummer,blackbear,0
SILTI,NCO,4
Veitola,"NCO, ibe",4
Sweettalk my Heart,Tove Lo,1
Lights Up,Harry Styles,0
What Dreams Are Made Of,Trisha Paytas,0
Poikien vessa (feat. costee),"Mouhous, costee",1
Lonely,Noah Cyrus,3
you were good to me,"Jeremy Zucker, Chelsea Cutler",3
Devil Eyes,Hippie Sabotage,3
All Time Low,Jon Bellion,1
Pull Up,Luh Kel,1
Like a Rodeo,Kane Brown,3
How You Feel? (Freestyle) (feat. Lil Yachty & Ski Mask The Slump God),"DJ Scheme, Danny Towers, Lil Yachty, Ski Mask The Slump God",4
Hey Julie! (feat. Lil Yachty),"KYLE, Lil Yachty",4
The Box,Roddy Ricch,0
Luota Muhun,ibe,3
Futsal Shuffle 2020,Lil Uzi Vert,4
Falling,Trevor Daniel,3
OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott, Young Thug",4
On Somebody,Ava Max,0
Mama,Sexmane,3
2naamaa,Sexmane,4
Case 19 (feat. 6ix9ine),"Jasiah, 6ix9ine",4
Marco de BIH,"Sexmane, Ege Zulu",4
Juicy,"Doja Cat, Tyga",1
Yummy,Justin Bieber,0
Blinding Lights,The Weeknd,1
Adore You,Harry Styles,1
Suicidal,YNW Melly,3
My Oh My (feat. DaBaby),"Camila Cabello, DaBaby",1
No Idea,Don Toliver,3
Watermelon Sugar,Harry Styles,1
She's So Nice,Pink Guy,3
One Call Away,Shaaye,3
Fake ID,"Riton, Kah-Lo",1
Bands,Comethazine,4
Top for a Pancake,3NIGMA,4
SUGAR,BROCKHAMPTON,3
Say So,Doja Cat,0
nan,nan,3
Guillotine,Death Grips,4
Opeta mut elämään,costee,0
Satuta mua kunnolla,costee,3
Kunnes kuollaan,costee,0
Eka tääl,costee,1
Y U Gotta B Like That,Audrey Mika,3
Hungry Hippo,Tierra Whack,0
Pretty Face,King Staccz,4
Take Your Man,Mahogany Lox,1
STUPID (feat. Yung Baby Tate),"Ashnikko, Yung Baby Tate",1
Back Up (feat. Big Sean),"DeJ Loaf, Big Sean",4
Baby I'm Yours,"Breakbot, Irfane",0
Personal,HRVY,1
U Was At The Club (Bottoms Up),The Boyboy West Coast,1
Hellcat,Weiland,4
Weekdays,Ori,3
Forget Me Thots,Yung Gravy,0
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,1
Dissolve,Absofacto,0
Kung Fu,Cordae,1
Ooh Ahh (My Life Be Like) (feat. Toby Mac),"Grits, TobyMac",1
Just Did a Bad Thing,Bill Wurtz,2
Oh Nanana - Remix,"dj 6rb, Bonde R300, xang, mayklove",1
Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix],Getter Jaani,1
Geek'd (feat. Lil Baby),"Bhad Bhabie, Lil Baby",4
who dat boi,"bbno$, lentra, So Loki",4
Pretty Brown Eyes,Cody Simpson,1
Mia Khalifa,iLOVEFRiDAY,4
Big And Chunky,will.i.am,0
All In,ZaeHD & CEO,4
Act My Age,One Direction,1
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,"SHAUN, Conor Maynard, Sam Feldt",1
Huncho Show,Huncho,4
"When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version",Owl City,0
Buttercup,Jack Stauber,2
1 Thot 2 Thot Red Thot Blue Thot,Yung Gravy,4
Shake It,Metro Station,1
Good Girls Bad Guys,Falling In Reverse,1
Jumpshot,Dawin,0
Lemon (feat. Drake) - Drake Remix,"N.E.R.D, Rihanna, Drake",4
Gm Say It Back,Killua the Pilgrim,3
same squad,P-Lo,0
Blueberry faygo,"Yung Anime, Lil Mozart",3
Blueberry Faygo !,Eternal Flames,3
Tia Tamera (feat. Rico Nasty),"Doja Cat, Rico Nasty",1
Cyber Sex,Doja Cat,1
Won't Bite,"Doja Cat, Smino",1
Rules,Doja Cat,1
Like That (feat. Gucci Mane),"Doja Cat, Gucci Mane",4
Talk Dirty,Doja Cat,1
Addiction,Doja Cat,1
Streets,Doja Cat,3
Shine,Doja Cat,4
Better Than Me,Doja Cat,1
Breezeblocks,alt-J,1
Cocaine Drip,Handsome Luke,1
Falling,Sophia Annello,1
Watch You Leave,Brayden,1
The Grave,Jeff Kush,4
Peppa Pig (Prod. Y2K),Leyla Blue,4
Beachboy,McCafferty,1
Loving Is Easy,"Rex Orange County, Benny Sings",1
Love Me,Ness The Kid,1
Cheat Codes for Hoes,"Shotgun Willy, TRAQULA",4
Sin City,Chrishan,4
Jump in the Line,Harry Belafonte,4
Change Ya Life,Haiti Babii,3
Two®,Lil Uzi Vert,3
Sauce It Up,Lil Uzi Vert,4
444+222,Lil Uzi Vert,4
Early 20 Rager,Lil Uzi Vert,0
X,Lil Uzi Vert,4
Dark Queen,Lil Uzi Vert,4
Pretty Little Fears (feat. J. Cole),"6LACK, J. Cole",3
Lost on You,LP,0
I.F.L.Y.,Bazzi,1
Losin Control,Russ,3
It's You,Ali Gatie,3
Hollywood's Bleeding,Post Malone,0
Saint-Tropez,Post Malone,1
Enemies (feat. DaBaby),"Post Malone, DaBaby",1
